line,emasculation_date,pollination_date,momsp,momplant,dadsp,dadplant,vial,hr,count_date,mid_1,mid_2,mid_3,mid_4,mid_5,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,notes,status
153,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,12074-7x525-11#2,69,4,2022-02-03,0,4,4,,,0,0,3,,,JP: fixed auto-increment in dadplant,
154,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,12074-7x525-11#2,70,4,2022-02-03,0,0,0,,,0,0,0,,,JP: fixed auto-increment in dadplant,
155,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,12074-7x525-11#2,71,24,2022-02-03,8,4,1,,,4,4,1,,,JP: fixed auto-increment in dadplant,
156,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,12074-7x525-11#2,72,24,2022-02-03,7,4,3,,,6,4,3,,,JP: fixed auto-increment in dadplant,
157,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,864 192-30,73,4,2022-02-03,0,0,0,,,0,0,0,,,,
158,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,864 192-30,74,4,2022-02-03,0,0,0,,,0,0,0,,,,
159,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,864 192-30,75,24,2022-02-03,4,3,5,,,2,1,4,,,,
160,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,864 192-30,76,24,2022-02-03,2,1,1,,,0,0,0,,,,
161,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,1ax234-1#1,77,4,2022-02-03,1,0,0,,,0,0,0,,,JP: changed dadplant 1 > 1a,
162,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,1ax234-1#1,78,4,2022-02-03,3,1,0,,,0,0,0,,,JP: changed dadplant 1 > 1a,
163,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,1ax234-1#1,79,24,2022-02-03,5,4,6,,,5,5,5,,,JP: changed dadplant 1 > 1a,
164,2022-01-03,2022-01-05,kaua,3ax525-1#6,kaua,1ax234-1#1,80,24,2022-02-03,7,4,5,,,5,4,5,,,JP: changed dadplant 1 > 1a,
165,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,mem#2x201-11#2,81,4,2022-02-03,0,0,0,,,0,0,0,,,JP: changed dadplant 864 > mem to match,
166,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,mem#2x201-11#2,82,4,2022-02-03,0,0,0,,,0,0,0,,,JP: changed dadplant 864 > mem to match,
167,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,mem#2x201-11#2,83,24,2022-02-03,2,4,4,,,1,3,3,,,JP: changed dadplant 864 > mem to match,
168,2022-01-03,2022-01-05,kaua,3ax525-1#6,mem,mem#2x201-11#2,84,24,2022-02-03,5,6,6,,,1,1,0,,,JP: changed dadplant 864 > mem to match,
169,2021-03-27,2021-03-29,kaua,2a,mem,5x9c-7,856,4,2022-01-08,0,0,0,,,0,0,0,,,JP: changed dadplant C > c,
170,2021-03-27,2021-03-29,kaua,2a,mem,5x9c-7,857,4,2022-01-08,0,0,0,,,0,0,0,,,JP: changed dadplant C > c,
171,2021-03-27,2021-03-29,kaua,2a,mem,5x9c-7,858,24,2022-01-08,0,0,0,,,0,0,0,,,JP: changed dadplant C > c,
172,2021-03-27,2021-03-29,kaua,2a,mem,5x9c-7,859,24,2022-01-08,4,3,3,,,2,0,0,,,JP: changed dadplant C > c,
173,2021-03-27,2021-03-29,kaua,2a,kaua,Prog2x525-1#9,860,4,2022-01-08,5,1,3,,,0,0,1,,,,
174,2021-03-27,2021-03-29,kaua,2a,kaua,Prog2x525-1#9,861,4,2022-01-08,5,1,2,,,4,1,0,,,,
175,2021-03-27,2021-03-29,kaua,2a,kaua,Prog2x525-1#9,862,24,2022-01-08,7,6,6,,,5,2,4,,,,
176,2021-03-27,2021-03-29,kaua,2a,kaua,Prog2x525-1#9,863,24,2022-01-08,5,5,3,,,4,3,4,,,,
177,2021-03-27,2021-03-29,kaua,2a,mem,2021-1,864,4,2022-01-08,0,0,0,,,0,0,0,,,,
178,2021-03-27,2021-03-29,kaua,2a,mem,2021-1,865,4,2022-01-08,0,0,0,,,0,0,0,,,,
179,2021-03-27,2021-03-29,kaua,2a,mem,2021-1,866,24,2022-01-08,1,3,2,,,0,2,0,,,,
180,2021-03-27,2021-03-29,kaua,2a,kaua,1ax234-1#7,868,4,2022-01-08,0,0,0,,,0,0,0,,,,
181,2021-03-27,2021-03-29,kaua,2a,kaua,1ax234-1#7,869,4,2022-01-08,2,2,6,,,1,0,3,,,,
182,2021-03-27,2021-03-29,kaua,2a,kaua,1ax234-1#7,870,24,2022-01-08,5,7,,,,7,7,,,,,
183,2021-03-27,2021-03-29,kaua,2a,kaua,1ax234-1#7,872,24,2022-01-08,7,5,4,,,5,6,2,,,"JP: vial number is yellow but data is present (SGW: mistaken highlight, OK)",
184,2021-12-16,2021-12-19,mem,864 192-30,kaua,Prog2x525-1#9,49,4,2022-01-04,3,2,1,0,0,1,0,0,0,0,JP: fixed auto-increment in momplant,
185,2021-12-16,2021-12-19,mem,864 192-30,kaua,Prog2x525-1#9,50,4,2022-01-05,0,1,0,0,0,2,0,0,0,0,JP: fixed auto-increment in momplant,
186,2021-12-16,2021-12-19,mem,864 192-30,kaua,Prog2x525-1#9,51,24,2022-01-06,0,6,0,4,,0,2,0,0,,JP: fixed auto-increment in momplant,
187,2021-12-16,2021-12-19,mem,864 192-30,kaua,Prog2x525-1#9,52,24,2022-01-07,0,0,0,1,,0,0,0,0,,JP: fixed auto-increment in momplant,
188,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,53,4,2022-01-08,1,0,3,1,0,0,0,0,0,0,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
189,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,54,4,2022-01-09,0,0,0,0,,0,0,0,0,0,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
190,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,55,24,2022-01-10,5,9,5,3,4,5,11,4,2,3,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
191,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,56,24,2022-01-11,9,9,10,6,10,4,5,4,8,9,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
192,2021-12-16,2021-12-19,mem,864 192-30,kaua,3ax525-1#6,57,4,2022-01-12,3,2,4,4,3,0,1,0,2,0,JP: fixed auto-increment in momplant,
193,2021-12-16,2021-12-19,mem,864 192-30,kaua,3ax525-1#6,58,4,2022-01-13,0,2,1,0,0,0,1,0,0,0,JP: fixed auto-increment in momplant,
194,2021-12-16,2021-12-19,mem,864 192-30,kaua,3ax525-1#6,59,24,2022-01-14,4,2,2,0,,3,0,3,1,,JP: fixed auto-increment in momplant,
195,2021-12-16,2021-12-19,mem,864 192-30,kaua,3ax525-1#6,60,24,2022-01-15,5,0,0,3,,1,0,0,3,,JP: fixed auto-increment in momplant,
196,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,61,4,2022-01-16,2,0,1,1,0,0,0,0,0,0,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
197,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,62,4,2022-01-17,0,0,1,2,0,0,0,0,0,0,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
198,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,63,24,2022-01-18,6,7,6,4,,5,3,3,6,,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
199,2021-12-16,2021-12-19,mem,864 192-30,mem,mem#2x201-11#2,64,24,2022-01-19,4,4,4,7,,4,4,4,4,,"JP: fixed auto-increment in momplant, changed dadplant 864 > mem",
