line,emasculation_date,pollination_date,mompop,momplant,dadpop,dadplant,hr,vial,mid,bottom,keep
36,2020-07-13,2020-07-16,6682,222-1,896,14-3,24,14,8,8,1
37,2020-07-13,2020-07-16,6682,222-1,896,14-3,24,14,11,10,1
38,2020-07-13,2020-07-16,6682,222-1,896,0107-1-6,2,15,0,0,0
39,2020-07-13,2020-07-16,6682,222-1,896,0107-1-6,2,15,0,0,0
40,2020-07-18,2020-07-21,6682,222-1,896,0107-1-6,4,15.5,6,0,1
41,2020-07-18,2020-07-21,6682,222-1,896,0107-1-6,4,15.5,5,0,1
42,2020-07-13,2020-07-16,6682,222-1,896,0107-1-6,24,16,11,9,1
43,2020-07-13,2020-07-16,6682,222-1,896,0107-1-6,24,16,10,9,1
45,,2020-07-28,896,123-16,6682,209-1,4,17,7,5,1
46,,2020-07-21,896,123-16,6682,209-1,4,17,14,20,1
47,,2020-07-16,896,123-16,6682,209-1,24,18,11,14,1
48,,2020-07-16,896,123-16,6682,209-1,24,18,5,4,1
49,,2020-07-21,896,123-16,6682,204-1,4,19.5,10,9,1
50,,2020-07-21,896,123-16,6682,204-1,4,19.5,10,11,1
51,,2020-07-16,896,123-16,6682,204-1,24,20,6,5,1
52,,2020-07-16,896,123-16,6682,204-1,24,20,6,6,1
53,,2020-07-21,896,123-16,896,0107-1-6,4,21.5,7,7,1
54,,2020-07-21,896,123-16,896,0107-1-6,4,21.5,12,11,1
55,,2020-07-16,896,123-16,896,0107-1-6,24,22,12,12,1
56,,2020-07-16,896,123-16,896,0107-1-6,24,22,11,11,1
57,,2020-07-21,896,123-16,896,17-5,4,23.5,15,16,1
58,,2020-07-21,896,123-16,896,17-5,4,23.5,15,17,1
59,,2020-07-16,896,123-16,896,17-5,24,24,8,6,1
60,,2020-07-16,896,123-16,896,17-5,24,24,12,10,1
62,2020-07-24,2020-07-27,6682,204-1,6682,235-2,4,25,5,3,1
63,2020-07-24,2020-07-27,6682,204-1,6682,235-2,4,25,3,0,1
64,2020-07-18,2020-07-21,6682,204-1,6682,235-2,24,26,6,6,1
65,2020-07-18,2020-07-21,6682,204-1,6682,235-2,24,26,4,4,1
66,2020-07-18,2020-07-21,6682,204-1,6682,233-2,4,27,8,4,1
67,2020-07-18,2020-07-21,6682,204-1,6682,233-2,4,27,6,5,1
68,2020-07-18,2020-07-21,6682,204-1,6682,233-2,24,28,9,10,1
69,2020-07-18,2020-07-21,6682,204-1,6682,233-2,24,28,8,7,1
70,2020-07-18,2020-07-21,6682,204-1,896,12-2,4,29,4,4,1
71,2020-07-18,2020-07-21,6682,204-1,896,12-2,4,29,3,5,1
72,2020-07-25,2020-07-28,6682,204-1,896,12-2,24,30,8,8,1
73,2020-07-25,2020-07-28,6682,204-1,896,12-2,24,30,7,7,1
74,2020-07-25,2020-07-28,6682,204-1,896,17-5,4,31,10,0,1
75,2020-07-25,2020-07-28,6682,204-1,896,17-5,4,31,11,0,1
76,2020-07-25,2020-07-28,6682,204-1,896,17-5,24,32,10,15,1
77,2020-07-25,2020-07-28,6682,204-1,896,17-5,24,32,7,10,1
79,,2020-07-22,896,8-2,6682,235-2,4,33,5,7,1
80,,2020-07-22,896,8-2,6682,235-2,4,33,6,6,1
81,,2020-07-22,896,8-2,6682,235-2,24,34,3,1,1
82,,2020-07-22,896,8-2,6682,235-2,24,34,5,6,1
83,,2020-07-22,896,8-2,6682,229-2,4,35,3,3,1
84,,2020-07-22,896,8-2,6682,229-2,4,35,5,4,1
85,,2020-07-22,896,8-2,6682,229-2,24,36,5,5,1
86,,2020-07-22,896,8-2,6682,229-2,24,36,10,10,1
87,,2020-07-22,896,8-2,896,9 2-1,4,37,14,11,1
88,,2020-07-22,896,8-2,896,9 2-1,4,37,8,10,1
89,,2020-07-22,896,8-2,896,9 2-1,24,38,6,5,1
90,,2020-07-22,896,8-2,896,9 2-1,24,38,5,4,1
91,,2020-07-22,896,8-2,896,17-5,4,39,5,6,1
91,,2020-07-22,896,8-2,896,17-5,4,39,5,5,1
93,,2020-07-22,896,8-2,896,17-5,24,40,5,5,1
94,,2020-07-22,896,8-2,896,17-5,24,40,4,4,1
96,2020-07-24,2020-07-27,6682,229-2,6682,233-2,4,41,10,6,1
97,2020-07-24,2020-07-27,6682,229-2,6682,233-2,4,41,3,2,1
98,2020-07-24,2020-07-27,6682,229-2,6682,233-2,24,42,10,10,1
99,2020-07-24,2020-07-27,6682,229-2,6682,233-2,24,42,11,11,1
100,2020-07-31,2020-08-03,6682,229-2,6682,222-1,4,43,10,8,1
101,2020-07-31,2020-08-03,6682,229-2,6682,222-1,4,43,10,5,1
102,2020-07-24,2020-07-27,6682,229-2,6682,222-1,24,44,8,8,1
103,2020-07-24,2020-07-27,6682,229-2,6682,222-1,24,44,12,12,1
104,2020-07-24,2020-07-27,6682,229-2,896,12-2,4,45,5,4,1
105,2020-07-24,2020-07-27,6682,229-2,896,12-2,4,45,4,4,1
106,2020-07-24,2020-07-27,6682,229-2,896,12-2,24,46,11,10,1
107,2020-07-24,2020-07-27,6682,229-2,896,12-2,24,46,8,8,1
108,2020-07-24,2020-07-27,6682,229-2,896,17-5,4,47,6,4,1
109,2020-07-24,2020-07-27,6682,229-2,896,17-5,4,47,4,3,1
110,2020-07-24,2020-07-27,6682,229-2,896,17-5,24,48,5,5,1
111,2020-07-24,2020-07-27,6682,229-2,896,17-5,24,48,8,8,1
113,,2020-07-28,896,12-3,6682,204-1,4,49,2,1,1
114,,2020-07-28,896,12-3,6682,204-1,4,49,1,0,1
115,,2020-07-28,896,12-3,6682,204-1,24,50,2,2,1
116,,2020-07-28,896,12-3,6682,204-1,24,50,7,7,1
117,,2020-07-28,896,12-3,6682,209-1,4,51,0,0,1
118,,2020-07-28,896,12-3,6682,209-1,4,51,3,0,1
119,,2020-07-28,896,12-3,6682,209-1,24,52,4,2,1
120,,2020-07-28,896,12-3,6682,209-1,24,52,2,1,1
121,,2020-08-10,896,12-3,6682,212-1,4,81,1,0,1
122,,2020-08-10,896,12-3,6682,212-1,4,81,1,0,1
123,,2020-08-05,896,12-3,6682,212-1,24,82,4,4,1
124,,2020-08-05,896,12-3,6682,212-1,24,82,3,2,1
125,,2020-07-28,896,12-3,896,0107-1-6,4,53,9,9,1
126,,2020-07-28,896,12-3,896,0107-1-6,4,53,7,6,1
127,,2020-07-28,896,12-3,896,0107-1-6,24,54,4,1,1
128,,2020-07-28,896,12-3,896,0107-1-6,24,54,6,5,1
129,,2020-07-28,896,12-3,896,14-3,4,55,1,0,1
130,,2020-07-28,896,12-3,896,14-3,4,55,2,1,1
