crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
168	16	14	NA	KK	2017-02-05	7.919	2017-09-19	NA	148	332	904WPG	3	kaal	904WPG	2	kaal	within	KK	904-3 x 904-2	kaal.within	kaal.within.904WPG.3	904WPG.3	904WPG.2	kaal904WPG
90	20	1	A	HH	2017-02-05	15.011	2017-09-19	NA	149	332	WK	2	hook	879WKG	10-1	hook	between	HH	866-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
77	3	1	A	HH	2017-02-18	18.151	2017-09-19	NA	150	345	WK	4	hook	879WKG	N-5	hook	between	HH	794-4 x 879-N-5	hook.between	hook.between.WK.4	WK.4	879WKG.N-5	hookWK
68	2	5	A	HK	2017-02-18	4.576	2017-09-19	NA	151	345	WK	2	hook	892WKG	5	kaal	hybrid	HK	794-2 x 892-5	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.5	hookWK
184	15	14	NA	KK	2017-02-18	10.999	2017-09-19	NA	152	345	904WPG	5	kaal	904WPG	3	kaal	within	KK	904-5 x 904-3	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.3	kaal904WPG
10	3	9	A	HK	2017-02-18	23	2017-09-19	NA	153	345	879WKG	2-2	hook	904WPG	2	kaal	hybrid	HK	879-2-2 x 904-2	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.2	hook879WKG
4	6	1	B	HH	2017-02-05	11.025	2017-09-19	NA	154	332	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
166	1	2	B	KK	2017-02-18	7.089	2017-09-19	NA	155	345	904WPG	3	kaal	892WKG	1	kaal	between	KK	904-3 x 892-1	kaal.between	kaal.between.904WPG.3	904WPG.3	892WKG.1	kaal904WPG
2	1	12	NA	HH	2017-02-05	15.296	2017-09-29	NA	156	332	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
6	16	8	A	HK	2017-02-05	13.744	2017-09-29	NA	157	332	879WKG	2-2	hook	892WKG	1	kaal	hybrid	HK	879-2-2 x 892-1	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.1	hook879WKG
22	7	1	B	HH	2017-02-05	14.415	2017-09-29	NA	158	332	879WKG	10-1	hook	WK	2E- 1	hook	between	HH	879-10-1 x 899-2E- 1	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2E- 1	hook879WKG
168	13	NA	NA	KK	NA	5.757	2017-09-29	No collected date,No Blk	159	NA	904WPG	3	kaal	904WPG	2	kaal	within	KK	904-3 x 904-2	kaal.within	kaal.within.904WPG.3	904WPG.3	904WPG.2	kaal904WPG
74	7	1	A	HH	2017-02-05	15.737	2017-09-29	NA	160	332	WK	4	hook	879WKG	2-2	hook	between	HH	794-4 x 879-2-2	hook.between	hook.between.WK.4	WK.4	879WKG.2-2	hookWK
