crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
60	9	1	A	HH	2017-02-11	11.583	2017-01-08	NA	271	338	WK	2	hook	879WKG	10-1	hook	between	HH	794-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
12	14	9	A	HYBRID	2017-01-11	19.904	2018-05-29	NA	272	307	879WKG	2-2	hook	904WPG	5	kaal	hybrid	HK	879-2-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.5	hook879WKG
187	5	4	A	KK	2016-12-21	7.481	2018-05-29	JP: changed year from 2017	273	286	904WPG	5	kaal	3587WP	14	kaal	between	KK	904-5 x 3587-14	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.14	kaal904WPG
213	1	4	B	KK	2017-01-11	7.167	2018-05-29	NA	274	307	3587WP	14	kaal	904WPG	3	kaal	between	KK	3587-14 x 904-3	kaal.between	kaal.between.3587WP.14	3587WP.14	904WPG.3	kaal3587WP
23	2	8	A	HYBRID	2016-12-12	14.569	2018-05-29	NA	275	277	879WKG	10-1	hook	892WKG	1	kaal	hybrid	HK	879-10-1 x 892-1	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	892WKG.1	hook879WKG
157	2	14	NA	KK	2016-12-21	8.69	2018-05-29	NA	276	286	904WPG	2	kaal	904WPG	3	kaal	within	KK	904-2 x 904-3	kaal.within	kaal.within.904WPG.2	904WPG.2	904WPG.3	kaal904WPG
198	2	15	NA	KK	2017-01-11	3.942	2018-05-29	NA	277	307	3587WP	7	kaal	3587WP	14	kaal	within	KK	3587-7 x 3587-14	kaal.within	kaal.within.3587WP.7	3587WP.7	3587WP.14	kaal3587WP
142	4	2	A	KK	2016-12-21	5.14	2018-05-29	NA	278	286	892WKG	5	kaal	904WPG	5	kaal	between	KK	892-5 x 904-5	kaal.between	kaal.between.892WKG.5	892WKG.5	904WPG.5	kaal892WKG
39	8	9	A	HYBRID	2017-01-11	9.663	2018-05-29	NA	279	307	879WKG	G-2	hook	904WPG	5	kaal	hybrid	HK	879-G-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	904WPG.5	hook879WKG
82	6	5	A	HYBRID	2016-12-21	9.329	2018-05-29	NA	280	286	WK	4	hook	892WKG	4	kaal	hybrid	HK	794-4 x 892-4	hook.hybrid	hook.hybrid.WK.4	WK.4	892WKG.4	hookWK
6	14	8	A	HYBRID	2016-12-21	2.508	2018-05-29	NA	281	286	879WKG	2-2	hook	892WKG	1	kaal	hybrid	HK	879-2-2 x 892-1	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.1	hook879WKG
181	4	2	B	KK	2016-12-21	5.265	2018-05-29	NA	282	286	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
109	3	8	B	HYBRID	2016-12-21	20.987	2018-05-29	NA	283	286	892WKG	1	kaal	879WKG	G-2	hook	hybrid	KH	892-1 x 879-G-2	kaal.hybrid	kaal.hybrid.892WKG.1	892WKG.1	879WKG.G-2	kaal892WKG
173	6	9	B	KH	2016-12-21	20.472	2018-05-29	NA	284	286	904WPG	5	kaal	879WKG	G-2	hook	hybrid	KH	904-5 x 879-G-2	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.G-2	kaal904WPG
185	12	4	A	KK	2016-12-21	5.423	2018-05-29	NA	285	286	904WPG	5	kaal	3587WP	7	kaal	between	KK	904-5 x 3587-7	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.7	kaal904WPG
227	5	4	B	KK	2016-12-22	4.438	2018-05-29	NA	286	287	3587WP	A	kaal	904WPG	5	kaal	between	KK	3587-A x 904-5	kaal.between	kaal.between.3587WP.A	3587WP.A	904WPG.5	kaal3587WP
8	7	8	A	HYBRID	2016-12-21	9.843	2018-05-29	NA	287	286	879WKG	2-2	hook	892WKG	4	kaal	hybrid	HK	879-2-2 x 892-4	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.4	hook879WKG
234	5	3	B	KK	2016-12-21	7.134	2018-05-29	NA	288	286	3587WP	C	kaal	892WKG	4	kaal	between	KK	3587-C x 892-4	kaal.between	kaal.between.3587WP.C	3587WP.C	892WKG.4	kaal3587WP
214	3	4	B	KK	2017-01-11	3.518	2018-05-29	NA	289	307	3587WP	14	kaal	904WPG	5	kaal	between	KK	3587-14 x 904-5	kaal.between	kaal.between.3587WP.14	3587WP.14	904WPG.5	kaal3587WP
180	4	4	B	KK	2017-01-11	9.756	2018-05-29	2B?	290	307	904WPG	5	kaal	892WKG	3	kaal	between	KK	904-5 x 892-3	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.3	kaal904WPG
119	2	2	A	KK	2017-01-11	13.951	2018-05-29	NA	291	307	892WKG	1	kaal	904WPG	5	kaal	between	KK	892-1 x 904-5	kaal.between	kaal.between.892WKG.1	892WKG.1	904WPG.5	kaal892WKG
37	1	8	A	HYBRID	2016-12-22	18.022	2018-05-29	JP: changed year from 2017	292	287	879WKG	G-2	hook	892WKG	5	kaal	hybrid	HK	879-G-2 x 892-5	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	892WKG.5	hook879WKG
55	3	9	A	HYBRID	2016-12-21	12.762	2018-05-29	NA	293	286	879WKG	N-5	hook	904WPG	5	kaal	hybrid	HK	879-N-5 x 904-5	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	904WPG.5	hook879WKG
83	8	5	A	HYBRID	2017-01-11	9.326	2018-05-29	NA	294	307	WK	4	hook	892WKG	5	kaal	hybrid	HK	794-4 x 892-5	hook.hybrid	hook.hybrid.WK.4	WK.4	892WKG.5	hookWK
41	5	10	A	HYBRID	2017-01-11	16.288	2018-05-29	NA	295	307	879WKG	G-2	hook	3587WP	14	kaal	hybrid	HK	879-G-2 x 3587-14	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	3587WP.14	hook879WKG
180	3	2	B	KK	2016-12-21	4.332	2018-05-29	NA	296	286	904WPG	5	kaal	892WKG	3	kaal	between	KK	904-5 x 892-3	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.3	kaal904WPG
8	3	8	A	HYBRID	2016-12-15	10.036	2018-05-29	NA	297	280	879WKG	2-2	hook	892WKG	4	kaal	hybrid	HK	879-2-2 x 892-4	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.4	hook879WKG
64	1	11	NA	HH	2016-12-15	12.819	2018-06-05	NA	298	280	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
3	3	12	NA	HH	2016-12-21	17.889	2018-06-05	NA	299	286	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
35	5	1	B	HH	2016-12-21	13.527	2018-06-05	NA	300	286	879WKG	G-2	hook	WK	2	hook	between	HH	879-G-2 x 866-2	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.2	hook879WKG
63	7	11	NA	HH	2016-12-21	9.624	2018-06-05	NA	301	286	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
60	7	1	A	HH	2016-12-15	8.575	2018-06-05	NA	302	280	WK	2	hook	879WKG	10-1	hook	between	HH	794-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
185	13	4	A	KK	NA	3.424	2018-06-05	No collected date	303	NA	904WPG	5	kaal	3587WP	7	kaal	between	KK	904-5 x 3587-7	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.7	kaal904WPG
85	3	6	A	HYBRID	2017-01-11	18.57	2018-06-05	JP: changed year from 2016	304	307	WK	4	hook	904WPG	5	kaal	hybrid	HK	794-4 x 904-5	hook.hybrid	hook.hybrid.WK.4	WK.4	904WPG.5	hookWK
35	3	1	B	HH	2016-12-21	10.13	2018-06-05	NA	305	286	879WKG	G-2	hook	WK	2	hook	between	HH	879-G-2 x 866-2	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.2	hook879WKG
63	16	11	NA	HH	2016-12-15	10.553	2018-06-05	NA	306	280	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
2	10	12	NA	HH	2016-12-15	13.535	2018-06-05	2-16?	307	280	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
182	3	2	B	KK	2016-12-22	8.826	2018-06-05	NA	308	287	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
98	10	6	A	HK	2017-01-30	6.686	2018-06-05	NA	309	326	WK	2	hook	904WPG	5	kaal	hybrid	HK	866-2 x 904-5	hook.hybrid	hook.hybrid.WK.2	WK.2	904WPG.5	hookWK
76	12	1	A	HH	2016-12-21	12.696	2018-06-05	NA	310	286	WK	4	hook	879WKG	G-2	hook	between	HH	794-4 x 879-G-2	hook.between	hook.between.WK.4	WK.4	879WKG.G-2	hookWK
64	19	11	NA	HH	2016-12-21	10.752	2018-06-05	JP: changed year from 2017	311	286	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
21	19	1	B	HH	2017-01-30	7.152	2018-06-05	NA	312	326	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
12	12	9	A	HYBRID	2016-11-11	6.811	2018-06-05	JP: changed year from 2017	313	246	879WKG	2-2	hook	904WPG	5	kaal	hybrid	HK	879-2-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.5	hook879WKG
95	12	5	A	HYBRID	2016-12-21	12.93	2018-06-05	NA	314	286	WK	2	hook	892WKG	4	kaal	hybrid	HK	866-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
156	8	2	B	KK	2017-02-02	4.198	2018-06-05	NA	315	329	904WPG	2	kaal	892WKG	10	kaal	between	KK	904-2 x 892-10	kaal.between	kaal.between.904WPG.2	904WPG.2	892WKG.10	kaal904WPG
66	17	1	A	HH	2017-01-30	19.226	2018-06-05	NA	316	326	WK	2	hook	892WKG	1	kaal	hybrid	HK	794-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
63	6	11	NA	HH	2017-01-30	30.04	2018-06-05	NA	317	326	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
166	2	2	B	KK	2017-01-11	9.855	2018-06-05	NA	318	307	904WPG	3	kaal	892WKG	1	kaal	between	KK	904-3 x 892-1	kaal.between	kaal.between.904WPG.3	904WPG.3	892WKG.1	kaal904WPG
103	7	5	A	HYBRID	2017-01-11	12.437	2018-06-05	NA	319	307	WK	2E- 1	hook	892WKG	1	kaal	hybrid	HK	899-2E- 1 x 892-1	hook.hybrid	hook.hybrid.WK.2E- 1	WK.2E- 1	892WKG.1	hookWK
91	19	1	A	HH	2017-01-30	13.877	2018-06-05	NA	320	326	WK	2	hook	879WKG	G-2	hook	between	HH	866-2 x 879-G-2	hook.between	hook.between.WK.2	WK.2	879WKG.G-2	hookWK
19	9	1	B	HH	2016-12-15	7.616	2018-06-05	NA	321	280	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 794-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
5	2	1	B	HH	2016-12-15	9.827	2018-06-05	NA	322	280	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
74	12	1	A	HH	NA	9.382	2018-06-05	No collected date	323	NA	WK	4	hook	879WKG	2-2	hook	between	HH	794-4 x 879-2-2	hook.between	hook.between.WK.4	WK.4	879WKG.2-2	hookWK
53	3	8	A	HK	2017-02-02	10.425	2018-06-27	NA	324	329	879WKG	N-5	hook	892WKG	5	kaal	hybrid	HK	879-N-5 x 892-5	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	892WKG.5	hook879WKG
24	1	8	A	HK	2017-02-02	16.213	2018-06-27	NA	325	329	879WKG	10-1	hook	892WKG	4	kaal	hybrid	HK	879-10-1 x 892-4	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	892WKG.4	hook879WKG
148	1	9	B	KH	2017-02-02	15.576	2018-06-27	NA	326	329	904WPG	2	kaal	879WKG	10-1	hook	hybrid	KH	904-2 x 879-10-1	kaal.hybrid	kaal.hybrid.904WPG.2	904WPG.2	879WKG.10-1	kaal904WPG
118	1	2	A	KK	2017-02-02	2.836	2018-06-27	NA	327	329	892WKG	1	kaal	904WPG	3	kaal	between	KK	892-1 x 904-3	kaal.between	kaal.between.892WKG.1	892WKG.1	904WPG.3	kaal892WKG
67	1	5	A	HK	2017-02-02	6.782	2018-06-27	Never flowered	328	329	WK	2	hook	892WKG	4	kaal	hybrid	HK	794-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
61	14	1	A	HH	2017-02-02	11.8	2018-06-27	NA	329	329	WK	2	hook	879WKG	G-2	hook	between	HH	794-2 x 879-G-2	hook.between	hook.between.WK.2	WK.2	879WKG.G-2	hookWK
5	12	1	B	HH	2017-02-02	7.519	2018-06-27	NA	330	329	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
99	7	9	A	HK	2017-02-02	8.992	2018-06-27	NA	331	329	WK	2	hook	3587WP	7	kaal	hybrid	HK	866-2 x 3587-7	hook.hybrid	hook.hybrid.WK.2	WK.2	3587WP.7	hookWK
181	6	2	B	KK	2017-01-30	8.212	2018-06-27	NA	332	326	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
8	5	8	A	HK	2017-02-02	12.68	2018-06-27	NA	333	329	879WKG	2-2	hook	892WKG	4	kaal	hybrid	HK	879-2-2 x 892-4	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.4	hook879WKG
36	7	8	A	HK	2017-02-02	8.688	2018-06-27	NA	334	329	879WKG	G-2	hook	892WKG	3	kaal	hybrid	HK	879-G-2 x 892-3	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	892WKG.3	hook879WKG
4	10	1	B	HH	2017-02-02	14.735	2018-06-27	NA	335	329	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
6	3	8	A	HK	2017-02-22	7.375	2018-06-27	No R	336	349	879WKG	2-2	hook	892WKG	1	kaal	hybrid	HK	879-2-2 x 892-1	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.1	hook879WKG
95	14	5	A	HK	2017-02-22	11.487	2018-06-27	No R	337	349	WK	2	hook	892WKG	4	kaal	hybrid	HK	866-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
74	16	1	A	HH	2017-01-30	13.755	2018-06-27	NA	338	326	WK	4	hook	879WKG	2-2	hook	between	HH	794-4 x 879-2-2	hook.between	hook.between.WK.4	WK.4	879WKG.2-2	hookWK
11	5	9	A	HK	2017-02-02	20.951	2018-06-27	NA	339	329	879WKG	2-2	hook	904WPG	3	kaal	hybrid	HK	879-2-2 x 904-3	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.3	hook879WKG
99	5	5	A	HK	2017-02-02	17.595	2018-06-27	NA	340	329	WK	2	hook	3587WP	7	kaal	hybrid	HK	866-2 x 3587-7	hook.hybrid	hook.hybrid.WK.2	WK.2	3587WP.7	hookWK
94	8	5	A	HK	2017-02-02	14.416	2018-06-27	NA	341	329	WK	2	hook	892WKG	1	kaal	hybrid	HK	866-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
182	8	2	B	KK	2017-02-02	4.549	2018-06-27	NA	342	329	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
181	8	2	B	KK	2017-02-02	4.686	2018-06-27	NA	343	329	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
181	2	2	B	KK	2017-01-30	5.59	2018-06-27	NA	344	326	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
54	1	9	A	HK	2017-02-02	6.345	2018-06-27	NA	345	329	879WKG	N-5	hook	904WPG	2	kaal	hybrid	HK	879-N-5 x 904-2	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	904WPG.2	hook879WKG
12	13	9	A	HK	2017-01-30	8.254	2018-06-27	NA	346	326	879WKG	2-2	hook	904WPG	5	kaal	hybrid	HK	879-2-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.5	hook879WKG
14	1	10	A	HK	2017-01-30	14.79	2018-06-27	NA	347	326	879WKG	2-2	hook	3587WP	C	kaal	hybrid	HK	879-2-2 x 3587-C	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	3587WP.C	hook879WKG
174	7	9	B	KH	2017-02-02	8.463	2018-06-27	NA	348	329	904WPG	5	kaal	879WKG	N-5	hook	hybrid	KH	904-5 x 879-N-5	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.N-5	kaal904WPG
20	2	1	B	HH	2016-12-09	13.537	2018-07-11	NA	349	274	879WKG	10-1	hook	WK	4	hook	between	HH	879-10-1 x 794-4	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.4	hook879WKG
50	1	1	B	HH	2016-12-09	12.292	2018-07-11	NA	350	274	879WKG	N-5	hook	WK	4	hook	between	HH	879-N-5 x 794-4	hook.between	hook.between.879WKG.N-5	879WKG.N-5	WK.4	hook879WKG
21	21	1	B	HH	2016-12-12	10.16	2018-07-11	NA	351	277	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
79	28	11	NA	HH? - Sarah	2016-12-09	8.72	2018-07-11	NA	352	274	WK	4	hook	WK	2	hook	within	HH	794-4 x 866-2	hook.within	hook.within.WK.4	WK.4	WK.2	hookWK
105	13	6	A	HK	2017-02-22	10.574	2018-07-11	NA	353	349	WK	2E- 1	hook	904WPG	5	kaal	hybrid	HK	899-2E- 1 x 904-5	hook.hybrid	hook.hybrid.WK.2E- 1	WK.2E- 1	904WPG.5	hookWK
183	4	14	NA	KK	2017-02-22	9.821	2018-07-11	NA	354	349	904WPG	5	kaal	904WPG	2	kaal	within	KK	904-5 x 904-2	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.2	kaal904WPG
89	10	1	A	HH	2017-02-18	19.563	2018-07-11	NA	355	345	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
4	12	1	B	HH	2017-02-18	17.399	2018-07-11	NA	356	345	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
88	1	7	A	HK	2017-02-18	16.222	2018-07-11	NA	357	345	WK	4	hook	3587WP	C	kaal	hybrid	HK	794-4 x 3587-C	hook.hybrid	hook.hybrid.WK.4	WK.4	3587WP.C	hookWK
182	11	2	B	KK	2017-02-21	4.243	2018-07-11	NA	358	348	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
166	7	2	B	KK	2017-02-21	3.775	2018-07-11	NA	359	348	904WPG	3	kaal	892WKG	1	kaal	between	KK	904-3 x 892-1	kaal.between	kaal.between.904WPG.3	904WPG.3	892WKG.1	kaal904WPG
183	14	14	NA	KK	2017-02-19	7.047	2018-07-11	NA	360	346	904WPG	5	kaal	904WPG	2	kaal	within	KK	904-5 x 904-2	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.2	kaal904WPG
101	2	7	A	HK	2017-02-22	6.574	2018-07-11	NA	361	349	WK	2	hook	3587WP	C	kaal	hybrid	HK	866-2 x 3587-C	hook.hybrid	hook.hybrid.WK.2	WK.2	3587WP.C	hookWK
55	1	9	A	HK	2017-02-19	22.59	2018-07-11	NA	362	346	879WKG	N-5	hook	904WPG	5	kaal	hybrid	HK	879-N-5 x 904-5	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	904WPG.5	hook879WKG
29	1	10	A	HK	2017-02-22	13.135	2018-07-11	NA	363	349	879WKG	10-1	hook	3587WP	15	kaal	hybrid	HK	879-10-1 x 3587-15	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	3587WP.15	hook879WKG
196	7	3	B	KK	2017-02-22	8.493	2018-07-11	NA	364	349	3587WP	7	kaal	892WKG	5	kaal	between	KK	3587-7 x 892-5	kaal.between	kaal.between.3587WP.7	3587WP.7	892WKG.5	kaal3587WP
78	3	11	NA	HH	2017-02-18	19.364	2018-07-11	NA	365	345	WK	4	hook	WK	2	hook	within	HH	794-4 x 794-2	hook.within	hook.within.WK.4	WK.4	WK.2	hookWK
66	2	5	A	HK	2017-02-19	17.76	2018-07-11	NA	366	346	WK	2	hook	892WKG	1	kaal	hybrid	HK	794-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
14	5	10	A	HK	2017-02-21	13.096	2018-07-11	NA	367	348	879WKG	2-2	hook	3587WP	C	kaal	hybrid	HK	879-2-2 x 3587-C	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	3587WP.C	hook879WKG
26	1	9	A	HK	2017-02-22	17.31	2018-07-11	NA	368	349	879WKG	10-1	hook	904WPG	3	kaal	hybrid	HK	879-10-1 x 904-3	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	904WPG.3	hook879WKG
156	7	2	B	KK	2017-02-22	4.19	2018-07-11	NA	369	349	904WPG	2	kaal	892WKG	10	kaal	between	KK	904-2 x 892-10	kaal.between	kaal.between.904WPG.2	904WPG.2	892WKG.10	kaal904WPG
75	7	1	A	HH	2017-02-22	14.11	2018-07-11	NA	370	349	WK	4	hook	879WKG	10-1	hook	between	HH	794-4 x 879-10-1	hook.between	hook.between.WK.4	WK.4	879WKG.10-1	hookWK
180	11	2	B	KK	2017-02-22	8.067	2018-07-11	NA	371	349	904WPG	5	kaal	892WKG	3	kaal	between	KK	904-5 x 892-3	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.3	kaal904WPG
62	5	1	A	HH	2017-02-18	15.62	2018-07-11	NA	372	345	WK	2	hook	879WKG	N-5	hook	between	HH	794-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
162	2	9	B	KH	2017-02-21	7.509	2018-07-11	NA	373	348	904WPG	3	kaal	879WKG	N-5	hook	hybrid	KH	904-3 x 879-N-5	kaal.hybrid	kaal.hybrid.904WPG.3	904WPG.3	879WKG.N-5	kaal904WPG
58	6	10	A	HK	2017-02-22	23.21	2018-07-11	NA	374	349	879WKG	N-5	hook	3587WP	C	kaal	hybrid	HK	879-N-5 x 3587-C	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	3587WP.C	hook879WKG
122	1	8	B	HH	2017-02-22	11.252	2018-07-11	NA	375	349	892WKG	3	kaal	879WKG	10-1	hook	hybrid	KH	892-3 x 879-10-1	kaal.hybrid	kaal.hybrid.892WKG.3	892WKG.3	879WKG.10-1	kaal892WKG
50	7	1	B	HH	2016-12-11	14.858	2018-07-11	NA	376	276	879WKG	N-5	hook	WK	4	hook	between	HH	879-N-5 x 794-4	hook.between	hook.between.879WKG.N-5	879WKG.N-5	WK.4	hook879WKG
171	8	9	B	KH	2016-12-13	12.613	2018-07-11	NA	377	278	904WPG	5	kaal	879WKG	2-2	hook	hybrid	KH	904-5 x 879-2-2	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.2-2	kaal904WPG
8	6	8	A	HK	2016-12-12	8.277	2018-07-11	NA	378	277	879WKG	2-2	hook	892WKG	4	kaal	hybrid	HK	879-2-2 x 892-4	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.4	hook879WKG
60	16	1	A	HH	2016-12-12	13.399	2018-07-11	NA	379	277	WK	2	hook	879WKG	10-1	hook	between	HH	794-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
92	1	1	A	HH	2016-12-12	16.082	2018-07-11	NA	380	277	WK	2	hook	879WKG	N-5	hook	between	HH	866-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
74	4	1	A	HH	2016-12-12	14.04	2018-07-11	NA	381	277	WK	4	hook	879WKG	2-2	hook	between	HH	794-4 x 879-2-2	hook.between	hook.between.WK.4	WK.4	879WKG.2-2	hookWK
76	4	1	A	HH	2016-12-12	13.774	2018-07-11	NA	382	277	WK	4	hook	879WKG	G-2	hook	between	HH	794-4 x 879-G-2	hook.between	hook.between.WK.4	WK.4	879WKG.G-2	hookWK
35	1	1	B	HH	2016-12-12	6.331	2018-07-11	NA	383	277	879WKG	G-2	hook	WK	2	hook	between	HH	879-G-2 x 866-2	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.2	hook879WKG
21	16	1	B	HH	2016-12-12	9.643	2018-07-11	NA	384	277	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
5	13	1	B	HH	2016-12-12	9.629	2018-07-11	NA	385	277	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
12	17	9	A	HK	2016-12-11	12.642	2018-07-11	NA	386	276	879WKG	2-2	hook	904WPG	5	kaal	hybrid	HK	879-2-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.5	hook879WKG
90	11	1	A	HH	2016-12-12	12.991	2018-07-11	NA	387	277	WK	2	hook	879WKG	10-1	hook	between	HH	866-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
35	10	1	B	HH	2016-12-12	19.454	2018-07-11	NA	388	277	879WKG	G-2	hook	WK	2	hook	between	HH	879-G-2 x 866-2	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.2	hook879WKG
70	6	6	A	HK	2016-12-12	8.902	2018-07-11	NA	389	277	WK	2	hook	904WPG	5	kaal	hybrid	HK	794-2 x 904-5	hook.hybrid	hook.hybrid.WK.2	WK.2	904WPG.5	hookWK
