dadgeneration	momgeneration	date	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crossid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	v	i	vpf	ipf	vp	tpf	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	P	2018-08-30	879 2-2	NA	NA	NA	NA	892-3 x 879 10-1 ID 1	892WKG	3	879WKG	10-1 ID 1	69-11	55	6	43	5	58	9	64	7	63	7	55	14	55	11	70	16	61	18	69	10	59.3	10.3	13176.46	2288.66	0.8520114942528736	15465.119999999999	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-05	879 2-2	NA	NA	NA	NA	904-2 x 879 10-1 ID 4	904WPG	2	879WKG	10-1 ID 4	70-11	42	26	48	28	59	31	52	21	35	32	55	30	60	25	38	27	59	28	64	23	51.2	27.1	11376.64	6021.620000000001	0.6538952745849297	17398.260000000002	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-18	879 2-2	NA	NA	NA	NA	904-3 x 879 10-1 ID 2	904WPG	3	879WKG	10-1 ID 2	71-10	41	21	39	24	42	19	41	19	40	21	43	18	34	24	43	20	44	29	32	19	39.9	21.4	8865.779999999999	4755.079999999999	0.6508972267536706	13620.859999999997	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-03	879 2-2	NA	NA	NA	NA	3587-7 x 879 10-1 ID 1	3587WP	7	879WKG	10-1 ID 1	72-3	13	22	19	29	23	35	15	30	13	20	25	19	10	20	24	35	15	31	20	17	17.7	25.8	3932.9399999999996	5732.76	0.40689655172413786	9665.7	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-09	879 2-2	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	73-8	33	28	34	20	29	20	28	22	29	28	34	23	56	17	28	18	42	18	34	22	34.7	21.6	7710.34	4799.52	0.6163410301953819	12509.86	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-16	879 2-2	NA	NA	NA	NA	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	74-7	5	14	3	22	7	28	4	22	6	21	3	18	8	36	6	34	3	13	2	28	4.7	23.6	1044.34	5243.92	0.16607773851590105	6288.26	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-09	879 2-2 small	NA	NA	NA	NA	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	75-10	4	25	5	21	3	22	8	37	1	13	4	20	5	33	7	17	3	19	7	18	4.7	22.5	1044.34	4999.5	0.1727941176470588	6043.84	879WKG	2-2 small	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-08-15	879 2-2 large	NA	NA	NA	NA	879 G-2 x 904-3 ID 1	879WKG	G-2	904WPG	3 ID 1	76-3	4	25	4	37	9	26	8	21	7	25	8	25	10	36	8	37	9	40	8	32	7.5	30.4	1666.5	6754.879999999999	0.1978891820580475	8421.38	879WKG	2-2 large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-07-11	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	90-2	16	10	15	8	12	13	15	10	15	8	12	20	24	20	21	23	10	13	19	10	15.9	13.5	3532.98	2999.7	0.5408163265306122	6532.68	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-08-01	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	90-3	28	8	34	10	41	21	37	18	32	21	24	12	30	8	23	12	24	12	37	17	31	13.9	6888.199999999999	3088.58	0.6904231625835189	9976.779999999999	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-08-28	879 G-2	NA	NA	NA	NA	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	91-1	62	19	60	22	46	6	49	6	34	5	41	6	40	10	39	13	43	12	49	4	46.3	10.3	10287.859999999999	2288.66	0.8180212014134276	12576.519999999999	879WKG	G-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-09-05	879 G-2	NA	NA	NA	NA	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	92-1	55	19	51	19	52	20	65	18	46	12	48	18	70	23	72	15	62	16	70	26	59.1	18.6	13132.02	4132.92	0.7606177606177605	17264.940000000002	879WKG	G-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-18	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	93-2	27	41	31	36	31	36	32	43	29	34	33	42	43	52	44	57	20	40	38	57	32.8	43.8	7288.159999999999	9732.359999999999	0.42819843342036557	17020.519999999997	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-09-07	879 10-1	NA	NA	NA	NA	904-5 x 879 G-2 ID 3	904WPG	5	879WKG	G-2 ID 3	46-6	35	13	29	16	33	14	36	19	31	13	38	15	30	13	37	25	24	12	30	17	32.3	15.7	7177.0599999999995	3488.539999999999	0.6729166666666667	10665.599999999999	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-09-06	879 10-1 small	NA	NA	NA	NA	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	45-7	30	6	19	13	45	10	34	9	41	11	17	3	43	7	35	12	35	2	49	7	34.8	8	7732.559999999999	1777.6	0.8130841121495327	9510.159999999998	879WKG	10-1 small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2019-10-02	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	36-1	41	4	37	9	42	5	16	9	35	9	48	6	43	9	34	4	49	4	25	3	37	6.2	8221.4	1377.6399999999999	0.8564814814814815	9599.039999999999	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2019-10-02	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	66-1	53	8	52	13	46	11	47	15	32	9	34	14	45	9	40	11	49	10	52	13	45	11.3	9999	2510.86	0.7992895204262878	12509.86	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2019-10-02	879 10-1 small	NA	NA	NA	NA	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	45-4	55	5	31	5	56	7	35	5	37	4	46	3	49	5	45	8	42	2	41	4	43.7	4.8	9710.14	1066.56	0.9010309278350516	10776.699999999999	879WKG	10-1 small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2019-10-07	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	90-1	29	8	27	10	32	9	27	11	11	9	38	9	31	9	20	9	27	9	17	14	25.9	9.7	5754.98	2155.3399999999997	0.7275280898876404	7910.32	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2019-10-07	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	93-1	36	25	39	16	36	15	65	18	36	14	31	12	23	7	42	18	44	22	36	11	38.8	15.8	8621.359999999999	3510.7599999999998	0.7106227106227105	12132.119999999999	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2019-10-09	879 2-2	NA	NA	NA	NA	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	74-1	7	56	10	45	5	58	9	51	11	51	18	69	11	64	15	44	10	57	16	55	11.2	55	2488.64	12221	0.1691842900302115	14709.64	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
