vial,line,cross,hr,momid,dadid,pollination_date,mid,bottom,grains,notes
27A,241,HxH,24,879 N-5,879-2,2018-07-27,3,5,,JP: changed cross HxK > HxH
27B,241,HxH,24,879 N-5,879-2,2018-07-27,7,4,,JP: changed cross HxK > HxH
27C,241,HxH,24,879 N-5,879-2,2018-07-27,9,10,,JP: changed cross HxK > HxH
29A,237,HxH,24,879 N-5,879-2,2018-07-27,7,8,,JP: changed cross HxK > HxH
29B,237,HxH,24,879 N-5,879-2,2018-07-27,8,5,,JP: changed cross HxK > HxH
29C,237,HxH,24,879 N-5,879-2,2018-07-27,6,5,,JP: changed cross HxK > HxH
30A,238,HxH,24,879 N-5,879-2,2018-07-27,9,4,,JP: changed cross HxK > HxH
30B,238,HxH,24,879 N-5,879-2,2018-07-27,7,1,,JP: changed cross HxK > HxH
30C,238,HxH,24,879 N-5,879-2,2018-07-27,6,8,,JP: changed cross HxK > HxH
31A,227,HxH,24,879 N-5,879-2,2018-07-27,6,2,,JP: changed cross HxK > HxH
31B,227,HxH,24,879 N-5,879-2,2018-07-27,5,4,,JP: changed cross HxK > HxH
31C,227,HxH,24,879 N-5,879-2,2018-07-27,6,5,,JP: changed cross HxK > HxH
32A,228,HxH,24,879 N-5,879-2,2018-07-27,5,0,,JP: changed cross HxK > HxH
32B,228,HxH,24,879 N-5,879-2,2018-07-27,6,1,,JP: changed cross HxK > HxH
32C,228,HxH,24,879 N-5,879-2,2018-07-27,4,1,,JP: changed cross HxK > HxH
33A,249,KxH,4,116-2,879 N-5,2018-08-08,8,5,,JP: changed cross KxK > KxH
33B,249,KxH,4,116-2,879 N-5,2018-08-08,9,5,,JP: changed cross KxK > KxH
33C,249,KxH,4,116-2,879 N-5,2018-08-08,12,3,,JP: changed cross KxK > KxH
34A,250,KxH,4,116-2,879 2-2,2018-08-08,7,4,,JP: changed cross KxK > KxH
34B,250,KxH,4,116-2,879 2-2,2018-08-08,13,7,,JP: changed cross KxK > KxH
34C,250,KxH,4,116-2,879 2-2,2018-08-08,12,13,,JP: changed cross KxK > KxH
35A,251,KxH,4,116-2,879 2-2,2018-08-08,6,1,,JP: changed cross KxK > KxH
35B,251,KxH,4,116-2,879 2-2,2018-08-08,4,1,,JP: changed cross KxK > KxH
35C,251,KxH,4,116-2,879 2-2,2018-08-08,5,3,,JP: changed cross KxK > KxH
36A,252,KxH,4,116-2,879 2-2,2018-08-08,6,3,,JP: changed cross KxK > KxH
36B,252,KxH,4,116-2,879 2-2,2018-08-08,2,2,,JP: changed cross KxK > KxH
36C,252,KxH,4,116-2,879 2-2,2018-08-08,4,1,,JP: changed cross KxK > KxH
37A,253,KxK,4,116-2,892-3,2018-08-08,0,0,,JP: changed cross KxH > KxK
37B,253,KxK,4,116-2,892-3,2018-08-08,0,0,,JP: changed cross KxH > KxK
37C,253,KxK,4,116-2,892-3,2018-08-08,1,0,,JP: changed cross KxH > KxK
37D,253,KxK,4,116-2,892-3,2018-08-08,1,0,,JP: changed cross KxH > KxK
38A,254,KxK,4,116-2,892-3,2018-08-08,3,0,,JP: changed cross KxH > KxK
38B,254,KxK,4,116-2,892-3,2018-08-08,1,1,,JP: changed cross KxH > KxK
38C,254,KxK,4,116-2,892-3,2018-08-08,2,0,,JP: changed cross KxH > KxK
39A,259,KxH,4,116-2,879 N-5,2018-08-08,4,3,,
