dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	momtype	tenseeds.mass.mg	seed.mass.mg	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	215	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	904-2 x 879-10-1ID3	904WPG	2	879WKG	10-1ID3	FF	F	1.63	0.16299999999999998	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	216	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	904-2 x 879-10-1ID3	904WPG	2	879WKG	10-1ID3	FF	F	1.52	0.152	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	222	904-5 x 879-10-1ID1	904WPG	5	879WKG	10-1ID1	904-2 x 879-2-2ID5	904WPG	2	879WKG	2-2ID5	FF	F	1.5	0.15	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	223	904-5 x 879-10-1ID1	904WPG	5	879WKG	10-1ID1	904-2 x 879-2-2ID5	904WPG	2	879WKG	2-2ID5	FF	F	1.57	0.157	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	228	904-5 x 879-G-2ID3	904WPG	5	879WKG	G-2ID3	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	FF	F	1.43	0.143	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	229	904-5 x 879-G-2ID3	904WPG	5	879WKG	G-2ID3	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	FF	F	1.22	0.122	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	230	904-5 x 879-G-2ID3	904WPG	5	879WKG	G-2ID3	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	FF	F	1.7	0.16999999999999998	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	P	11	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	K	4.31	0.43099999999999994	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	12	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	K	4.59	0.45899999999999996	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	13	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	K	4.8	0.48	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	17	3587-6ID1	NA	NA	NA	NA	3587-14 x 879-G-2ID1	3587WP	14	879WKG	G-2ID1	KF	K	3.78	0.378	3587WP	6ID1	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	18	3587-6ID1	NA	NA	NA	NA	3587-7 x 879-10-1ID1	3587WP	7	879WKG	10-1ID1	KF	K	3.84	0.384	3587WP	6ID1	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	34	879-10-1	NA	NA	NA	NA	879-G-2 x 904-5ID1	879WKG	G-2	904WPG	5ID1	HF	H	1.07	0.10700000000000001	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	35	879-10-1	NA	NA	NA	NA	879-2-2 x 892-10ID8?	879WKG	2-2	892WKG	10ID8?	HF	H	1.2	0.12	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	36	879-10-1	NA	NA	NA	NA	904-2 x 879-G-2ID3	904WPG	2	879WKG	G-2ID3	HF	H	0.98	0.098	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	37	879-10-1	NA	NA	NA	NA	904-2 x 879-G-2ID3	904WPG	2	879WKG	G-2ID3	HF	H	1.11	0.11100000000000002	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	38	879-10-1	NA	NA	NA	NA	904-2 x 879-G-2ID3	904WPG	2	879WKG	G-2ID3	HF	H	1	0.1	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	39	879-10-1	NA	NA	NA	NA	904-2 x 879-2-2ID5	904WPG	2	879WKG	2-2ID5	HF	H	0.83	0.08299999999999999	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	40	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID?	904WPG	3	879WKG	H-2ID?	HF	H	0.83	0.08299999999999999	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	41	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID?	904WPG	3	879WKG	H-2ID?	HF	H	0.9	0.09	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
