index,species,pop,source,plant_id,sex,habitat,seeds_weighed,total_mass_mg,notes,notes2
133,S.sali,842,F,147,2,D,25,4.327,,
134,S.sali,842,F,147,2,D,25,4.443,,
135,S.sali,842,F,147,2,D,25,4.583,,
136,S.sali,842,F,147,2,D,25,4.173,,
137,S.sali,842,F,147,2,D,25,4.85,,
138,S.sali,842,F,147,2,D,25,4.893,,
139,S.sali,842,F,147,2,D,25,5.044,,
140,S.sali,842,F,148,2,D,16,3.176,,
141,S.sali,842,F,148,2,D,4,0.802,,
142,S.glob,850,F,13,2,D,25,2.369,,
143,S.glob,850,F,13,2,D,25,2.525,,
144,S.glob,850,F,13,2,D,25,2.592,,
145,S.glob,850,F,46,2,D,25,3.056,,
146,S.glob,850,F,46,2,D,25,3.029,,
147,S.glob,850,F,46,2,D,25,2.966,,
148,S.glob,850,F,87,2,D,25,2.989,,
149,S.glob,850,F,87,2,D,25,3.258,,
150,S.glob,850,F,87,2,D,12,1.491,,
151,S.glob,850,F,87,2,D,25,3.998,,
152,S.glob,850,F,87,2,D,25,3.726,,
153,S.glob,850,F,87,2,D,25,4.05,,
154,S.glob,850,F,91,2,D,25,2.528,,
155,S.glob,850,F,91,2,D,25,2.602,,
156,S.glob,850,F,91,2,D,25,2.571,,
157,S.glob,850,F,91,2,D,25,2.63,,
158,S.glob,850,F,91,2,D,25,2.856,,
159,S.glob,850,F,91,2,D,25,2.86,,
160,S.glob,850,F,124,2,D,25,3.019,,
161,S.glob,850,F,124,2,D,25,3.035,,
162,S.glob,850,F,124,2,D,25,2.977,,
163,S.glob,850,F,124,2,D,25,3.173,,
164,S.glob,850,F,124,2,D,25,3.349,,
165,S.glob,850,F,124,2,D,25,3.529,,
166,S.glob,844,F,12,3,D,25,2.62,,
167,S.glob,844,F,12,3,D,25,2.508,,
168,S.glob,844,F,12,3,D,25,2.327,,
169,S.glob,844,F,12,3,D,25,2.559,,
170,S.glob,844,F,12,3,D,25,2.596,,
171,S.glob,844,F,12,3,D,25,2.487,,
172,S.glob,844,F,24,2,D,25,3.351,,
173,S.glob,844,F,24,2,D,25,3.375,,
174,S.glob,844,F,24,2,D,25,3.222,,
175,S.glob,844,F,24,2,D,25,3.633,,
176,S.glob,844,F,24,2,D,25,3.498,,
177,S.glob,844,F,24,2,D,25,3.606,,
178,S.glob,844,F,91,3,D,25,2.693,,
179,S.glob,844,F,91,3,D,25,2.731,,
180,S.glob,844,F,91,3,D,21,2.208,,
181,S.glob,844,F,96,2,D,25,2.213,,
182,S.glob,844,F,96,2,D,25,2.245,,
183,S.glob,844,F,96,2,D,25,2.264,,
