dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	viable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
P	P	2253	892-1	NA	NA	NA	NA	866	NA	NA	NA	NA	KH	6	NA	TRUE	892WKG	1	WK	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2254	892-1	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	0	NA	FALSE	892WKG	1	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2255	892-1	NA	NA	NA	NA	904	NA	NA	NA	NA	KKbetween	10	NA	TRUE	892WKG	1	904WPG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2256	892-3	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	6	NA	TRUE	892WKG	3	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2257	892-3	NA	NA	NA	NA	794	NA	NA	NA	NA	KH	0	NA	FALSE	892WKG	3	WK	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2259	892-1	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	5	NA	TRUE	892WKG	1	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2260	892-1	NA	NA	NA	NA	904	NA	NA	NA	NA	KKbetween	3	NA	TRUE	892WKG	1	904WPG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2261	892-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	3	NA	TRUE	892WKG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2262	892-5	NA	NA	NA	NA	892	NA	NA	NA	NA	KKwithin	8	NA	TRUE	892WKG	5	892WKG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2264	892-5	NA	NA	NA	NA	904	NA	NA	NA	NA	KKbetween	6	NA	TRUE	892WKG	5	904WPG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2265	904-2	NA	NA	NA	NA	3587	NA	NA	NA	NA	KKbetween	0	NA	FALSE	904WPG	2	3587WP	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2266	904-2	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	0	NA	FALSE	904WPG	2	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2267	904-5	NA	NA	NA	NA	892	NA	NA	NA	NA	KKbetween	14	NA	TRUE	904WPG	5	892WKG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
