dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	viable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	P	1332	904-5-A.4/3/13	NA	NA	NA	NA	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	KF	0	NA	FALSE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1333	904-5-A.4/3/13	NA	NA	NA	NA	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	KF	0	NA	FALSE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1334	904-5-A.4/3/13	NA	NA	NA	NA	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	KF	0	NA	FALSE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1335	904-5-A.4/3/13	NA	NA	NA	NA	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	KF	0	NA	FALSE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1337	904-2	NA	NA	NA	NA	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1338	904-2	NA	NA	NA	NA	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	KF	3	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1339	904-2	NA	NA	NA	NA	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1340	904-2	NA	NA	NA	NA	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	KF	4	JP: fixed crosstype from FH to KF	TRUE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1341	879-G2	NA	NA	NA	NA	879-10-1 x 904-3ID1	879WKG	10-1	904WPG	3ID1	HF	0	NA	FALSE	879WKG	G2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1342	879-G2	NA	NA	NA	NA	879-10-1 x 904-3ID1	879WKG	10-1	904WPG	3ID1	HF	3	NA	TRUE	879WKG	G2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1343	879-G2	NA	NA	NA	NA	879-10-1 x 904-3ID1	879WKG	10-1	904WPG	3ID1	HF	0	NA	FALSE	879WKG	G2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1344	879-G2	NA	NA	NA	NA	879-10-1 x 904-3ID1	879WKG	10-1	904WPG	3ID1	HF	6	NA	TRUE	879WKG	G2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1345	879-G2	NA	NA	NA	NA	879-10-1 x 904-3ID1	879WKG	10-1	904WPG	3ID1	HF	2	NA	TRUE	879WKG	G2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1346	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	10	NA	TRUE	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1347	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	1	NA	TRUE	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1348	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	10	NA	TRUE	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1349	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	9	NA	TRUE	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1350	3587-12	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	KF	4	NA	TRUE	3587WP	12	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1351	879-10-1	NA	NA	NA	NA	879-2-2 x 892-4ID8	879WKG	2-2	892WKG	4ID8	HF	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1352	879-10-1	NA	NA	NA	NA	879-2-2 x 892-4ID8	879WKG	2-2	892WKG	4ID8	HF	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1353	879-10-1	NA	NA	NA	NA	879-2-2 x 892-4ID8	879WKG	2-2	892WKG	4ID8	HF	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1354	879-10-1	NA	NA	NA	NA	879-2-2 x 892-4ID8	879WKG	2-2	892WKG	4ID8	HF	2	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1355	879-10-1	NA	NA	NA	NA	879-2-2 x 892-4ID8	879WKG	2-2	892WKG	4ID8	HF	6	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1356	904-3	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	KF	0	NA	FALSE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1357	904-3	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	KF	0	NA	FALSE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1358	904-3	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	KF	0	NA	FALSE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1359	904-3	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	KF	1	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1360	904-3	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	KF	8	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1361	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	21	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1362	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	0	NA	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1363	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	0	NA	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1364	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	6	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1365	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	7	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1369	3587-14	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	KF	0	NA	FALSE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1370	3587-14	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	KF	5	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1371	879-2-2small	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	HF	17	NA	TRUE	879WKG	2-2small	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1372	879-2-2small	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	HF	16	NA	TRUE	879WKG	2-2small	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1373	879-2-2small	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	HF	11	NA	TRUE	879WKG	2-2small	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1374	879-2-2small	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	HF	19	NA	TRUE	879WKG	2-2small	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1375	879-2-2small	NA	NA	NA	NA	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	HF	13	NA	TRUE	879WKG	2-2small	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1376	3587-15	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	KF	0	NA	FALSE	3587WP	15	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1379	904-3	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	KF	3	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1380	904-3	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	KF	2	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1381	904-3	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	KF	2	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1382	879-10-1C2	NA	NA	NA	NA	879-2-2 x 892-10ID8	879WKG	2-2	892WKG	10ID8	HF	5	NA	TRUE	879WKG	10-1C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1383	879-10-1C2	NA	NA	NA	NA	879-2-2 x 892-10ID8	879WKG	2-2	892WKG	10ID8	HF	0	NA	FALSE	879WKG	10-1C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1384	879-10-1C2	NA	NA	NA	NA	879-2-2 x 892-10ID8	879WKG	2-2	892WKG	10ID8	HF	3	NA	TRUE	879WKG	10-1C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1385	879-10-1C2	NA	NA	NA	NA	879-2-2 x 892-10ID8	879WKG	2-2	892WKG	10ID8	HF	5	NA	TRUE	879WKG	10-1C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1386	879-10-1C2	NA	NA	NA	NA	879-2-2 x 892-10ID8	879WKG	2-2	892WKG	10ID8	HF	0	NA	FALSE	879WKG	10-1C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1387	904-3	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	KF	4	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1388	904-3	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	KF	3	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1389	904-3	NA	NA	NA	NA	904-2 x 879-G2ID3	904WPG	2	879WKG	G2ID3	KF	2	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1390	904-3	NA	NA	NA	NA	904-2 x 879-G2ID3	904WPG	2	879WKG	G2ID3	KF	3	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1391	879-G2C2	NA	NA	NA	NA	879-2-2 x 904-5ID9	879WKG	2-2	904WPG	5ID9	HF	0	NA	FALSE	879WKG	G2C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1392	879-G2C2	NA	NA	NA	NA	879-2-2 x 904-5ID9	879WKG	2-2	904WPG	5ID9	HF	0	NA	FALSE	879WKG	G2C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1393	879-G2C2	NA	NA	NA	NA	879-2-2 x 904-5ID9	879WKG	2-2	904WPG	5ID9	HF	6	NA	TRUE	879WKG	G2C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1394	879-G2C2	NA	NA	NA	NA	879-2-2 x 904-5ID9	879WKG	2-2	904WPG	5ID9	HF	7	NA	TRUE	879WKG	G2C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1395	879-G2C2	NA	NA	NA	NA	879-2-2 x 904-5ID9	879WKG	2-2	904WPG	5ID9	HF	4	NA	TRUE	879WKG	G2C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1396	904-3	NA	NA	NA	NA	904-2 x 879-G2ID3	904WPG	2	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1397	904-3	NA	NA	NA	NA	904-2 x 879-G2ID3	904WPG	2	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1398	904-3	NA	NA	NA	NA	904-2 x 879-G2ID3	904WPG	2	879WKG	G2ID3	KF	2	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1399	879-10-1C2large	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	HF	0	NA	FALSE	879WKG	10-1C2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1400	879-10-1C2large	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	HF	3	NA	TRUE	879WKG	10-1C2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1401	879-10-1C2large	NA	NA	NA	NA	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	HF	1	NA	TRUE	879WKG	10-1C2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1402	904-5	NA	NA	NA	NA	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	KF	0	NA	FALSE	904WPG	5	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1403	904-5	NA	NA	NA	NA	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	KF	0	NA	FALSE	904WPG	5	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1404	904-5	NA	NA	NA	NA	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	KF	0	NA	FALSE	904WPG	5	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1405	904-5	NA	NA	NA	NA	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	KF	0	NA	FALSE	904WPG	5	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1406	904-5	NA	NA	NA	NA	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	KF	0	NA	FALSE	904WPG	5	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1412	879-10-1C2small	NA	NA	NA	NA	892-3 x 879-2-2ID1	892WKG	3	879WKG	2-2ID1	HF	0	NA	FALSE	879WKG	10-1C2small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1413	879-10-1C2small	NA	NA	NA	NA	892-3 x 879-2-2ID1	892WKG	3	879WKG	2-2ID1	HF	3	NA	TRUE	879WKG	10-1C2small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1414	879-2-2large	NA	NA	NA	NA	879-G2 x 904-3ID1	879WKG	G2	904WPG	3ID1	HF	3	NA	TRUE	879WKG	2-2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1415	879-2-2large	NA	NA	NA	NA	879-G2 x 904-3ID1	879WKG	G2	904WPG	3ID1	HF	0	NA	FALSE	879WKG	2-2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1416	879-2-2large	NA	NA	NA	NA	879-G2 x 904-3ID1	879WKG	G2	904WPG	3ID1	HF	0	NA	FALSE	879WKG	2-2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1417	879-2-2large	NA	NA	NA	NA	879-G2 x 904-3ID1	879WKG	G2	904WPG	3ID1	HF	2	JP: fixed crosstype from FH to HF	TRUE	879WKG	2-2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1418	879-2-2large	NA	NA	NA	NA	879-G2 x 904-3ID1	879WKG	G2	904WPG	3ID1	HF	2	JP: fixed crosstype from FH to HF	TRUE	879WKG	2-2large	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	1419	879-10-1	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	HF	4	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1421	879-10-1	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	HF	9	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1422	879-10-1	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	HF	14	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1423	879-10-1	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	HF	16	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1429	904-5-A.4/3/13	NA	NA	NA	NA	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	KF	1	NA	TRUE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1430	904-5-A.4/3/13	NA	NA	NA	NA	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	KF	4	NA	TRUE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1432	904-5-A.4/3/13	NA	NA	NA	NA	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	KF	3	NA	TRUE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1433	904-5-A.4/3/13	NA	NA	NA	NA	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	KF	9	NA	TRUE	904WPG	5-A.4/3/13	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1434	879-N-5	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	HF	2	NA	TRUE	879WKG	N-5	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1435	879-N-5	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	HF	11	NA	TRUE	879WKG	N-5	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1436	879-N-5	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	HF	10	NA	TRUE	879WKG	N-5	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1437	879-N-5	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	HF	17	NA	TRUE	879WKG	N-5	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1438	879-N-5	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	HF	5	NA	TRUE	879WKG	N-5	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1439	879-10-1	NA	NA	NA	NA	892-4 x 879-G2ID2	892WKG	4	879WKG	G2ID2	HF	5	NA	TRUE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1449	3587-14	NA	NA	NA	NA	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	KF	0	NA	FALSE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1455	3587-15	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	KF	0	NA	FALSE	3587WP	15	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1457	3587-15	NA	NA	NA	NA	3587-14 x 879-10-1ID2	3587WP	14	879WKG	10-1ID2	KF	0	NA	FALSE	3587WP	15	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1459	3587-7	NA	NA	NA	NA	3587-A x 879-G2ID2	3587WP	A	879WKG	G2ID2	KF	0	NA	FALSE	3587WP	7	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1469	904-2	NA	NA	NA	NA	904-5 x 879-10-1ID1	904WPG	5	879WKG	10-1ID1	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1470	904-2	NA	NA	NA	NA	904-5 x 879-10-1ID1	904WPG	5	879WKG	10-1ID1	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1471	904-2	NA	NA	NA	NA	904-5 x 879-10-1ID1	904WPG	5	879WKG	10-1ID1	KF	1	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1472	904-2	NA	NA	NA	NA	904-5 x 879-10-1ID1	904WPG	5	879WKG	10-1ID1	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1479	892-10	NA	NA	NA	NA	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	KF	0	NA	FALSE	892WKG	10	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1481	892-10	NA	NA	NA	NA	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	KF	0	NA	FALSE	892WKG	10	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1482	892-10	NA	NA	NA	NA	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	KF	0	NA	FALSE	892WKG	10	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1483	892-10	NA	NA	NA	NA	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	KF	0	NA	FALSE	892WKG	10	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1484	892-4	NA	NA	NA	NA	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	KF	0	NA	FALSE	892WKG	4	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1485	892-4	NA	NA	NA	NA	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	KF	2	NA	TRUE	892WKG	4	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1486	892-4	NA	NA	NA	NA	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	KF	0	NA	FALSE	892WKG	4	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1487	892-4	NA	NA	NA	NA	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	KF	0	NA	FALSE	892WKG	4	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1488	892-4	NA	NA	NA	NA	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	KF	0	NA	FALSE	892WKG	4	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	1496	904-2	NA	NA	NA	NA	904-5 x 879-G2ID3	904WPG	5	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1497	904-2	NA	NA	NA	NA	904-5 x 879-G2ID3	904WPG	5	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1498	904-2	NA	NA	NA	NA	904-5 x 879-G2ID3	904WPG	5	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1499	904-2	NA	NA	NA	NA	904-5 x 879-G2ID3	904WPG	5	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1500	904-2	NA	NA	NA	NA	904-5 x 879-G2ID3	904WPG	5	879WKG	G2ID3	KF	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	1501	879-2-2	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	HF	17	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1502	879-2-2	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	HF	19	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1503	879-2-2	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	HF	17	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	1504	879-2-2	NA	NA	NA	NA	3587-A x 879-10-1ID1	3587WP	A	879WKG	10-1ID1	HF	19	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
