index,page,species,pop,source,plant_id,sex,habitat,viable_seeds,inviable_seeds,notes,notes2,notes3,notes4,notes5
162,7,S.adam,847,Field,380,F,D,9,0,SD-double checked,,,,
163,7,S.adam,847,Field,380,F,D,6,0,SD-double checked,,,,
164,7,S.adam,847,Field,380,F,D,5,0,SD-double checked,,,,
165,7,S.adam,847,Field,380,F,D,8,0,SD-double checked,,,,
166,7,S.adam,847,Field,380,F,D,9,0,SD-double checked,,,,
167,7,S.adam,847,Field,380,F,D,11,0,SD-double checked,,,,
168,7,S.adam,847,Field,380,F,D,13,0,SD-double checked,,,,
169,7,S.adam,847,Field,380,F,D,7,0,SD-double checked,,,,
170,7,S.adam,847,Field,380,F,D,8,0,SD-double checked,,,,
171,7,S.adam,847,Field,380,F,D,6,0,SD-double checked,,,,
172,7,S.adam,847,Field,380,F,D,6,0,SD-double checked,,,,
173,7,S.adam,847,Field,380,F,D,8,0,SD-double checked,,,,
174,7,S.adam,847,Field,380,F,D,9,0,SD-double checked,,,,
175,7,S.adam,847,Field,380,F,D,7,0,SD-double checked,,,,
176,7,S.adam,847,Field,380,F,D,7,0,SD-double checked,,,,
177,7,S.adam,847,Field,380,F,D,5,0,SD-double checked,,,,
178,7,S.adam,847,Field,380,F,D,10,0,SD-double checked,,,,
179,7,S.adam,847,Field,380,F,D,10,0,SD-double checked,,,,
180,7,S.adam,847,Field,380,F,D,9,0,SD-double checked,,,,
181,8,S.adam,847,Field,352,F,D,11,0,SD-double checked,,,,
182,8,S.adam,847,Field,352,F,D,14,0,SD-double checked,,,,
183,8,S.adam,847,Field,352,F,D,13,0,SD-double checked,,,,
184,8,S.adam,847,Field,352,F,D,9,0,SD-double checked,,,,
185,8,S.adam,847,Field,352,F,D,10,0,SD-double checked,,,,
186,8,S.adam,847,Field,352,F,D,12,0,SD-double checked,,,,
187,8,S.adam,847,Field,352,F,D,7,0,SD-double checked,,,,
188,8,S.adam,847,Field,352,F,D,13,0,SD-double checked,,,,
189,8,S.adam,847,Field,352,F,D,13,0,SD-double checked,,,,
190,8,S.adam,847,Field,352,F,D,13,0,SD-double checked,,,,
191,8,S.adam,847,Field,352,F,D,9,0,SD-double checked,,,,
192,8,S.adam,847,Field,352,F,D,10,0,SD-double checked,,,,
193,8,S.adam,847,Field,352,F,D,13,0,SD-double checked,,,,
194,8,S.adam,847,Field,352,F,D,10,0,SD-double checked,,,,
195,8,S.adam,847,Field,352,F,D,11,0,SD-double checked,,,,
196,8,S.adam,847,Field,352,F,D,10,0,SD-double checked,,,,
197,8,S.adam,847,Field,352,F,D,15,0,SD-double checked,,,,
198,9,S.adam,847,Field,304,F,D,10,0,SD-double checked,,,,
199,9,S.adam,847,Field,304,F,D,10,0,SD-double checked,,,,
200,9,S.adam,847,Field,304,F,D,9,0,SD-double checked,,,,
201,9,S.adam,847,Field,304,F,D,4,0,SD-double checked,,,,
202,9,S.adam,847,Field,304,F,D,6,0,SD-double checked,,,,
203,9,S.adam,847,Field,304,F,D,10,0,SD-double checked,,,,
204,9,S.adam,847,Field,304,F,D,13,0,SD-double checked,,,,
205,9,S.adam,847,Field,304,F,D,5,0,SD-double checked,,,,
206,9,S.adam,847,Field,304,F,D,16,0,SD-double checked,,,,
207,9,S.adam,847,Field,304,F,D,18,0,SD-double checked,,,,
208,9,S.adam,847,Field,304,F,D,15,0,SD-double checked,,,,
209,9,S.adam,847,Field,304,F,D,10,0,SD-double checked,,,,
210,9,S.adam,847,Field,304,F,D,20,0,SD-double checked,,,,
211,9,S.adam,847,Field,304,F,D,6,0,SD-double checked,,,,
212,9,S.adam,847,Field,304,F,D,17,0,SD-double checked,,,,
213,9,S.adam,847,Field,304,F,D,8,0,SD-double checked,,,,
214,10,S.adam,847,Field,202,F,D,16,0,SD-double checked,,,,
215,10,S.adam,847,Field,202,F,D,2,0,SD-double checked,,,,
216,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
217,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
218,10,S.adam,847,Field,202,F,D,15,0,SD-double checked,,,,
219,10,S.adam,847,Field,202,F,D,10,0,SD-double checked,,,,
220,10,S.adam,847,Field,202,F,D,15,0,SD-double checked,,,,
221,10,S.adam,847,Field,202,F,D,20,0,SD-double checked,,,,
222,10,S.adam,847,Field,202,F,D,13,0,SD-double checked,,,,
223,10,S.adam,847,Field,202,F,D,17,0,SD-double checked,,,,
224,10,S.adam,847,Field,202,F,D,17,0,SD-double checked,,,,
225,10,S.adam,847,Field,202,F,D,16,0,SD-double checked,,,,
226,10,S.adam,847,Field,202,F,D,11,0,SD-double checked,,,,
227,10,S.adam,847,Field,202,F,D,11,0,SD-double checked,,,,
228,10,S.adam,847,Field,202,F,D,13,0,SD-double checked,,,,
229,10,S.adam,847,Field,202,F,D,17,0,SD-double checked,,,,
230,10,S.adam,847,Field,202,F,D,18,0,SD-double checked,,,,
231,10,S.adam,847,Field,202,F,D,8,0,SD-double checked,,,,
232,10,S.adam,847,Field,202,F,D,21,0,SD-double checked,,,,
233,10,S.adam,847,Field,202,F,D,19,0,SD-double checked,,,,
234,10,S.adam,847,Field,202,F,D,10,0,SD-double checked,,,,
235,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
236,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
237,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
238,10,S.adam,847,Field,202,F,D,16,0,SD-double checked,,,,
239,10,S.adam,847,Field,202,F,D,13,0,SD-double checked,,,,
240,10,S.adam,847,Field,202,F,D,15,0,SD-double checked,,,,
241,10,S.adam,847,Field,202,F,D,6,0,SD-double checked,,,,
242,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
243,10,S.adam,847,Field,202,F,D,7,0,SD-double checked,,,,
244,10,S.adam,847,Field,202,F,D,14,0,SD-double checked,,,,
245,10,S.adam,847,Field,202,F,D,9,0,SD-double checked,,,,
246,10,S.adam,847,Field,202,F,D,9,0,SD-double checked,,,,
247,10,S.adam,847,Field,202,F,D,12,0,SD-double checked,,,,
248,10,S.adam,847,Field,202,F,D,7,0,SD-double checked,,,,
249,10,S.adam,847,Field,202,F,D,7,0,SD-double checked,,,,
250,10,S.adam,847,Field,202,F,D,9,0,SD-double checked,,,,
251,10,S.adam,847,Field,202,F,D,9,0,SD-double checked,,,,
252,10,S.adam,847,Field,202,F,D,10,0,SD-double checked,,,,
253,10,S.adam,847,Field,202,F,D,11,0,SD-double checked,,,,
254,10,S.adam,847,Field,202,F,D,9,0,SD-double checked,,,,
255,10,S.adam,847,Field,202,F,D,10,0,SD-double checked,,,,
256,10,S.adam,847,Field,202,F,D,9,0,SD-double checked,,,,
257,11,S.adam,847,Field,102,F,D,16,0,SD-double checked,,,,
258,11,S.adam,847,Field,102,F,D,10,0,SD-double checked,,,,
259,11,S.adam,847,Field,102,F,D,15,0,SD-double checked,,,,
260,11,S.adam,847,Field,102,F,D,17,0,SD-double checked,,,,
261,11,S.adam,847,Field,102,F,D,16,0,SD-double checked,,,,
262,11,S.adam,847,Field,102,F,D,13,0,SD-double checked,,,,
263,11,S.adam,847,Field,102,F,D,19,0,SD-double checked,,,,
264,11,S.adam,847,Field,102,F,D,12,0,SD-double checked,,,,
265,11,S.adam,847,Field,102,F,D,11,0,SD-double checked,,,,
266,11,S.adam,847,Field,102,F,D,11,0,SD-double checked,,,,
267,11,S.adam,847,Field,102,F,D,12,0,SD-double checked,,,,
268,11,S.adam,847,Field,102,F,D,16,0,SD-double checked,,,,
269,11,S.adam,847,Field,102,F,D,8,0,SD-double checked,,,,
270,11,S.adam,847,Field,102,F,D,16,0,SD-double checked,,,,
271,11,S.adam,847,Field,102,F,D,10,0,SD-double checked,,,,
272,11,S.adam,847,Field,102,F,D,12,0,SD-double checked,,,,
273,2,S.apok,865,GH,1,F,D,1,14,SD-double checked,,,,
274,2,S.apok,865,GH,1,F,D,25,2,SD-double checked,,,,
275,2,S.apok,865,GH,1,F,D,20,0,SD-double checked,,,,
276,2,S.apok,865,GH,1,F,D,13,0,SD-double checked,,,,
277,2,S.apok,865,GH,1,F,D,24,2,SD-double checked,,,,
278,2,S.apok,865,GH,1,F,D,10,3,SD-double checked,,,,
279,2,S.apok,865,GH,1,F,D,9,1,SD-double checked,,,,
280,2,S.apok,865,GH,1,F,D,14,1,SD-double checked,,,,
281,2,S.apok,865,GH,1,F,D,16,5,SD-double checked,,,,
282,2,S.apok,865,GH,1,F,D,1,2,SD-double checked,,,,
283,2,S.apok,865,GH,1,F,D,9,2,SD-double checked,,,,
284,2,S.apok,865,GH,1,F,D,13,4,SD-double checked,,,,
285,2,S.apok,865,GH,1,F,D,12,5,SD-double checked,,,,
286,2,S.apok,865,GH,1,F,D,11,7,SD-double checked,,,,
287,2,S.apok,865,GH,1,F,D,12,9,SD-double checked,,,,
288,2,S.apok,865,GH,1,F,D,15,0,SD-double checked,,,,
289,2,S.apok,865,GH,1,F,D,15,3,SD-double checked,,,,
290,2,S.apok,865,GH,1,F,D,11,4,SD-double checked,,,,
291,2,S.apok,865,GH,1,F,D,5,1,SD-double checked,,,,
292,2,S.apok,865,GH,1,F,D,11,10,SD-double checked,,,,
293,2,S.apok,865,GH,1,F,D,22,5,SD-double checked,,,,
294,3,S.apok,865,GH,5,F,D,5,0,SD-double checked,,,,
295,3,S.apok,865,GH,5,F,D,10,0,SD-double checked,,,,
296,3,S.apok,865,GH,5,F,D,4,0,SD-double checked,,,,
297,4,S.apok,865,GH,65,H,D,17,8,SD-double checked,,"865-65 was originally scored as a female, but then produced some anthers",,
298,4,S.apok,865,GH,65,H,D,19,11,SD-double checked,,,,
299,4,S.apok,865,GH,65,H,D,9,8,SD-double checked,,,,
300,4,S.apok,865,GH,65,H,D,15,10,SD-double checked,,,,
301,4,S.apok,865,GH,65,H,D,19,7,SD-double checked,,,,
302,4,S.apok,865,GH,65,H,D,10,4,SD-double checked,,,,
303,4,S.apok,865,GH,65,H,D,8,8,SD-double checked,,,,
304,4,S.apok,865,GH,65,H,D,7,5,SD-double checked,,,,
305,4,S.apok,865,GH,65,H,D,22,1,SD-double checked,,,,
306,4,S.apok,865,GH,59,H,D,15,10,SD-double checked,,,,
307,4,S.apok,865,GH,59,H,D,14,1,SD-double checked,,,,
308,4,S.apok,865,GH,59,H,D,11,5,SD-double checked,,,,
309,4,S.apok,865,GH,59,H,D,9,3,SD-double checked,,,,
310,4,S.apok,865,GH,17,H,D,15,3,SD-double checked,,,,
311,4,S.apok,865,GH,17,H,D,3,0,SD-double checked,,,,
312,4,S.apok,865,GH,17,H,D,16,3,SD-double checked,,,,
313,4,S.apok,865,GH,17,H,D,11,2,SD-double checked,,,,
314,4,S.apok,865,GH,51,F,D,8,0,SD-double checked,,,,
315,4,S.apok,865,GH,51,F,D,8,1,SD-double checked,,,,
316,4,S.apok,865,GH,51,F,D,6,0,SD-double checked,,,,
317,4,S.apok,865,GH,51,F,D,15,1,SD-double checked,,,,
318,4,S.apok,865,GH,51,F,D,8,0,SD-double checked,,,,
319,4,S.apok,865,GH,51,F,D,16,2,SD-double checked,,,,
320,4,S.apok,865,GH,51,F,D,22,0,SD-double checked,,,,
321,4,S.apok,865,GH,51,F,D,14,1,SD-double checked,,,,
322,4,S.apok,865,GH,51,F,D,20,0,SD-double checked,,,,
323,4,S.apok,865,GH,51,F,D,14,0,SD-double checked,,,,
324,4,S.apok,865,GH,51,F,D,17,0,SD-double checked,,,,
325,4,S.apok,865,GH,51,F,D,18,0,SD-double checked,,,,
326,4,S.apok,865,GH,51,F,D,12,0,SD-double checked,,,,
327,4,S.apok,865,GH,51,F,D,17,0,SD-double checked,,,,
328,4,S.apok,865,GH,51,F,D,11,0,SD-double checked,,,,
329,4,S.apok,865,GH,51,F,D,4,0,SD-double checked,,,,
330,4,S.apok,865,GH,51,F,D,15,1,SD-double checked,,,,
331,4,S.apok,865,GH,51,F,D,3,0,SD-double checked,,,,
332,4,S.apok,865,GH,51,F,D,18,0,SD-double checked,,,,
333,4,S.apok,865,GH,51,F,D,7,0,SD-double checked,,,,
334,4,S.apok,865,GH,51,F,D,4,0,SD-double checked,,,,
335,4,S.apok,865,GH,51,F,D,15,0,SD-double checked,,,,
336,4,S.apok,865,GH,51,F,D,8,0,SD-double checked,,,,
337,4,S.apok,865,GH,51,F,D,15,0,SD-double checked,,,,
338,4,S.apok,865,GH,51,F,D,17,0,SD-double checked,,,,
339,4,S.apok,865,GH,51,F,D,14,0,SD-double checked,,,,
340,4,S.apok,865,GH,51,F,D,18,0,SD-double checked,,,,
341,4,S.apok,865,GH,51,F,D,13,0,SD-double checked,,,,
342,4,S.apok,865,GH,51,F,D,13,0,SD-double checked,,,,
343,4,S.apok,865,GH,51,F,D,17,0,SD-double checked,,,,
344,4,S.apok,865,GH,51,F,D,19,0,SD-double checked,,,,
345,4,S.apok,865,GH,51,F,D,15,0,SD-double checked,,,,
346,4,S.apok,865,GH,51,F,D,12,2,SD-double checked,,,,
347,2,S.diff,848,GH,1989-1,H,W,47,1,SD-double checked,,,,
348,3,S.diff,848,GH,85,H,W,8,0,SD-double checked,,,,
349,3,S.diff,848,GH,85,H,W,9,1,SD-double checked,,,,
350,3,S.diff,848,GH,85,H,W,31,0,SD-double checked,,,,
351,3,S.diff,848,GH,85,H,W,7,0,SD-double checked,,,,
352,3,S.diff,848,GH,85,H,W,13,0,SD-double checked,,,,
353,3,S.diff,848,GH,85,H,W,21,2,SD-double checked,,,,
354,3,S.diff,848,GH,85,H,W,8,1,SD-double checked,,,,
355,3,S.diff,848,GH,85,H,W,19,1,SD-double checked,,,,
356,3,S.diff,848,GH,85,H,W,31,1,SD-double checked,,,,
357,3,S.diff,848,GH,85,H,W,26,2,SD-double checked,,,,
358,3,S.diff,848,GH,85,H,W,25,0,SD-double checked,,,,
359,3,S.diff,848,GH,85,H,W,39,4,SD-double checked,,,,
360,3,S.diff,848,GH,85,H,W,21,7,SD-double checked,,,,
361,3,S.diff,848,GH,85,H,W,5,1,SD-double checked,,,,
362,3,S.diff,848,GH,85,H,W,8,2,SD-double checked,,,,
363,4,S.diff,848,GH,100,H,W,23,0,SD-double checked,,,,
364,4,S.diff,848,GH,100,H,W,24,0,SD-double checked,,,,
365,4,S.diff,848,GH,100,H,W,18,0,SD-double checked,,,,
366,4,S.diff,848,GH,100,H,W,20,0,SD-double checked,,,,
367,4,S.diff,848,GH,100,H,W,38,0,SD-double checked,,,,
368,4,S.diff,848,GH,100,H,W,33,0,SD-double checked,,,,
369,4,S.diff,848,GH,100,H,W,30,0,SD-double checked,,,,
370,4,S.diff,848,GH,100,H,W,15,0,SD-double checked,,,,
371,4,S.diff,848,GH,100,H,W,8,0,SD-double checked,,,,
372,4,S.diff,848,GH,100,H,W,9,1,SD-double checked,,,,
373,4,S.diff,848,GH,100,H,W,7,1,SD-double checked,,,,
374,4,S.diff,848,GH,100,H,W,8,0,SD-double checked,,,,
375,4,S.diff,848,GH,100,H,W,17,0,SD-double checked,,,,
376,4,S.diff,848,GH,100,H,W,30,4,SD-double checked,,,,
377,4,S.diff,848,GH,100,H,W,5,0,SD-double checked,,,,
378,4,S.diff,848,GH,100,H,W,8,0,SD-double checked,,,,
379,4,S.diff,848,GH,100,H,W,11,0,SD-double checked,,,,
380,4,S.diff,848,GH,100,H,W,15,1,SD-double checked,,,,
381,4,S.diff,848,GH,100,H,W,16,12,SD-double checked,,,,
382,5,S.diff,848,GH,1,H,W,4,0,SD-double checked,,"848-1 is from Kipahulu 887 in collecting book, though 899 is written in the binder",,
383,5,S.diff,848,GH,1,H,W,13,3,SD-double checked,,,,
384,5,S.diff,848,GH,1,H,W,36,3,SD-double checked,,,,
385,5,S.diff,848,GH,1,H,W,6,1,SD-double checked,,,,
386,5,S.diff,848,GH,1,H,W,14,0,SD-double checked,,,,
387,5,S.diff,848,GH,1,H,W,24,4,SD-double checked,,,,
388,5,S.diff,848,GH,1,H,W,61,1,SD-double checked,,,,
389,5,S.diff,848,GH,1,H,W,27,5,SD-double checked,,,,
390,5,S.diff,848,GH,1,H,W,36,1,SD-double checked,,,,
391,5,S.diff,848,GH,1,H,W,27,11,SD-double checked,,,,
392,5,S.diff,848,GH,1,H,W,30,8,SD-double checked,,,,
393,5,S.diff,848,GH,1,H,W,44,0,SD-double checked,,,,
